Timestamp,Event Type,Entity Type,Entity ID,Payload JSON,Actor,Schema Version
2026-05-01T07:00:00Z,CUSTOMER_CREATED,customer,C-001,"{""id"": ""C-001"", ""name"": ""Climber01"", ""height"": ""168"", ""experience"": ""1y"", ""gender"": ""F""}",seed@fixture,1
2026-05-01T07:01:00Z,CUSTOMER_CREATED,customer,C-002,"{""id"": ""C-002"", ""name"": ""Climber02"", ""height"": ""178"", ""experience"": ""0y"", ""gender"": ""M""}",seed@fixture,1
2026-05-01T07:02:00Z,CUSTOMER_CREATED,customer,C-003,"{""id"": ""C-003"", ""name"": ""Climber03"", ""height"": ""184"", ""experience"": ""4y"", ""gender"": ""M""}",seed@fixture,1
2026-05-01T07:03:00Z,CUSTOMER_CREATED,customer,C-004,"{""id"": ""C-004"", ""name"": ""Climber04"", ""height"": ""169"", ""experience"": ""4y"", ""gender"": ""M""}",seed@fixture,1
2026-05-01T07:04:00Z,CUSTOMER_CREATED,customer,C-005,"{""id"": ""C-005"", ""name"": ""Climber05"", ""height"": ""174"", ""experience"": ""1y"", ""gender"": ""M""}",seed@fixture,1
2026-05-01T07:05:00Z,CUSTOMER_CREATED,customer,C-006,"{""id"": ""C-006"", ""name"": ""Climber06"", ""height"": ""160"", ""experience"": ""3y"", ""gender"": ""F""}",seed@fixture,1
2026-05-01T07:06:00Z,CUSTOMER_CREATED,customer,C-007,"{""id"": ""C-007"", ""name"": ""Climber07"", ""height"": ""160"", ""experience"": ""1y"", ""gender"": ""M""}",seed@fixture,1
2026-05-01T07:07:00Z,CUSTOMER_CREATED,customer,C-008,"{""id"": ""C-008"", ""name"": ""Climber08"", ""height"": ""175"", ""experience"": ""3y"", ""gender"": ""M""}",seed@fixture,1
2026-05-01T07:08:00Z,CUSTOMER_CREATED,customer,C-009,"{""id"": ""C-009"", ""name"": ""Climber09"", ""height"": ""184"", ""experience"": ""4y"", ""gender"": ""M""}",seed@fixture,1
2026-05-01T07:09:00Z,CUSTOMER_CREATED,customer,C-010,"{""id"": ""C-010"", ""name"": ""Climber10"", ""height"": ""165"", ""experience"": ""4y"", ""gender"": ""M""}",seed@fixture,1
2026-05-01T07:10:00Z,CUSTOMER_CREATED,customer,C-011,"{""id"": ""C-011"", ""name"": ""Climber11"", ""height"": ""176"", ""experience"": ""4y"", ""gender"": ""F""}",seed@fixture,1
2026-05-01T07:11:00Z,CUSTOMER_CREATED,customer,C-012,"{""id"": ""C-012"", ""name"": ""Climber12"", ""height"": ""159"", ""experience"": ""1y"", ""gender"": ""M""}",seed@fixture,1
2026-05-01T07:12:00Z,CUSTOMER_CREATED,customer,C-013,"{""id"": ""C-013"", ""name"": ""Climber13"", ""height"": ""175"", ""experience"": ""1y"", ""gender"": ""F""}",seed@fixture,1
2026-05-01T07:13:00Z,CUSTOMER_CREATED,customer,C-014,"{""id"": ""C-014"", ""name"": ""Climber14"", ""height"": ""171"", ""experience"": ""1y"", ""gender"": ""M""}",seed@fixture,1
2026-05-01T07:14:00Z,CUSTOMER_CREATED,customer,C-015,"{""id"": ""C-015"", ""name"": ""Climber15"", ""height"": ""176"", ""experience"": ""2y"", ""gender"": ""M""}",seed@fixture,1
2026-05-01T08:00:00Z,ROUTE_CREATED,route,R-001,"{""id"": ""R-001"", ""name"": ""Route-01"", ""difficulty"": 2, ""createdAt"": ""2026-05-01T01:00:00Z""}",seed@fixture,1
2026-05-01T08:01:00Z,ROUTE_CREATED,route,R-002,"{""id"": ""R-002"", ""name"": ""Route-02"", ""difficulty"": 4, ""createdAt"": ""2026-05-01T02:00:00Z""}",seed@fixture,1
2026-05-01T08:02:00Z,ROUTE_CREATED,route,R-003,"{""id"": ""R-003"", ""name"": ""Route-03"", ""difficulty"": 6, ""createdAt"": ""2026-05-01T03:00:00Z""}",seed@fixture,1
2026-05-01T08:03:00Z,ROUTE_CREATED,route,R-004,"{""id"": ""R-004"", ""name"": ""Route-04"", ""difficulty"": 2, ""createdAt"": ""2026-05-01T04:00:00Z""}",seed@fixture,1
2026-05-01T08:04:00Z,ROUTE_CREATED,route,R-005,"{""id"": ""R-005"", ""name"": ""Route-05"", ""difficulty"": 9, ""createdAt"": ""2026-05-01T05:00:00Z""}",seed@fixture,1
2026-05-01T08:05:00Z,ROUTE_CREATED,route,R-006,"{""id"": ""R-006"", ""name"": ""Route-06"", ""difficulty"": 2, ""createdAt"": ""2026-05-01T06:00:00Z""}",seed@fixture,1
2026-05-01T08:06:00Z,ROUTE_CREATED,route,R-007,"{""id"": ""R-007"", ""name"": ""Route-07"", ""difficulty"": 1, ""createdAt"": ""2026-05-01T07:00:00Z""}",seed@fixture,1
2026-05-01T08:07:00Z,ROUTE_CREATED,route,R-008,"{""id"": ""R-008"", ""name"": ""Route-08"", ""difficulty"": 4, ""createdAt"": ""2026-05-01T08:00:00Z""}",seed@fixture,1
2026-05-01T09:00:00Z,CLIMB_LOGGED,climb,C-001_R-001,"{""timestamp"": ""2026-05-01T09:00:00Z"", ""customerId"": ""C-001"", ""routeId"": ""R-001"", ""status"": ""◯"", ""grade"": 2, ""height"": ""168"", ""experience"": ""1y"", ""gender"": ""F""}",seed@fixture,1
2026-05-01T09:05:00Z,CLIMB_LOGGED,climb,C-002_R-003,"{""timestamp"": ""2026-05-01T09:05:00Z"", ""customerId"": ""C-002"", ""routeId"": ""R-003"", ""status"": ""◯"", ""grade"": 6, ""height"": ""178"", ""experience"": ""0y"", ""gender"": ""M""}",seed@fixture,1
2026-05-01T09:10:00Z,CLIMB_LOGGED,climb,C-003_R-005,"{""timestamp"": ""2026-05-01T09:10:00Z"", ""customerId"": ""C-003"", ""routeId"": ""R-005"", ""status"": ""✓"", ""grade"": 9, ""height"": ""184"", ""experience"": ""4y"", ""gender"": ""M""}",seed@fixture,1
2026-05-01T09:15:00Z,CLIMB_LOGGED,climb,C-004_R-007,"{""timestamp"": ""2026-05-01T09:15:00Z"", ""customerId"": ""C-004"", ""routeId"": ""R-007"", ""status"": ""◯"", ""grade"": 1, ""height"": ""169"", ""experience"": ""4y"", ""gender"": ""M""}",seed@fixture,1
2026-05-01T09:20:00Z,CLIMB_LOGGED,climb,C-005_R-001,"{""timestamp"": ""2026-05-01T09:20:00Z"", ""customerId"": ""C-005"", ""routeId"": ""R-001"", ""status"": ""✓"", ""grade"": 2, ""height"": ""174"", ""experience"": ""1y"", ""gender"": ""M""}",seed@fixture,1
2026-05-01T09:25:00Z,CLIMB_LOGGED,climb,C-006_R-003,"{""timestamp"": ""2026-05-01T09:25:00Z"", ""customerId"": ""C-006"", ""routeId"": ""R-003"", ""status"": ""◯"", ""grade"": 6, ""height"": ""160"", ""experience"": ""3y"", ""gender"": ""F""}",seed@fixture,1
2026-05-01T09:30:00Z,CLIMB_LOGGED,climb,C-007_R-005,"{""timestamp"": ""2026-05-01T09:30:00Z"", ""customerId"": ""C-007"", ""routeId"": ""R-005"", ""status"": ""◎"", ""grade"": 9, ""height"": ""160"", ""experience"": ""1y"", ""gender"": ""M""}",seed@fixture,1
2026-05-01T09:35:00Z,CLIMB_LOGGED,climb,C-008_R-007,"{""timestamp"": ""2026-05-01T09:35:00Z"", ""customerId"": ""C-008"", ""routeId"": ""R-007"", ""status"": ""◎"", ""grade"": 1, ""height"": ""175"", ""experience"": ""3y"", ""gender"": ""M""}",seed@fixture,1
